Created file at epoch: 1136
(Timestamp: 42940) Temperature Readings: [21.29, 19.03, 30.00, 20.00, 22.90, 27.10, 20.00, 25.81], Solar Cell 1: [Voltage: 0.61V, Current: 85.54mA], Solar Cell 2: [Voltage: 1.92V, Current: 4.57mA]
(Timestamp: 43453) Temperature Readings: [21.29, 19.03, 30.00, 19.68, 22.90, 27.10, 20.00, 25.81], Solar Cell 1: [Voltage: 0.63V, Current: 87.50mA], Solar Cell 2: [Voltage: 2.51V, Current: 5.55mA]
(Timestamp: 43960) Temperature Readings: [21.29, 18.71, 30.00, 20.00, 22.90, 26.77, 20.00, 25.81], Solar Cell 1: [Voltage: 0.63V, Current: 87.83mA], Solar Cell 2: [Voltage: 2.64V, Current: 5.88mA]
(Timestamp: 44466) Temperature Readings: [21.29, 19.03, 30.00, 20.00, 22.90, 27.10, 20.00, 25.81], Solar Cell 1: [Voltage: 0.68V, Current: 94.03mA], Solar Cell 2: [Voltage: 3.01V, Current: 6.20mA]
(Timestamp: 44972) Temperature Readings: [21.29, 19.03, 30.00, 20.00, 22.90, 27.10, 20.00, 25.81], Solar Cell 1: [Voltage: 0.74V, Current: 99.26mA], Solar Cell 2: [Voltage: 3.21V, Current: 6.53mA]
(Timestamp: 45479) Temperature Readings: [21.29, 19.03, 30.00, 20.00, 22.90, 26.77, 20.00, 25.81], Solar Cell 1: [Voltage: 0.77V, Current: 103.50mA], Solar Cell 2: [Voltage: 3.08V, Current: 6.20mA]
(Timestamp: 45987) Temperature Readings: [21.29, 19.03, 30.00, 20.00, 22.90, 26.77, 20.00, 25.81], Solar Cell 1: [Voltage: 0.79V, Current: 104.81mA], Solar Cell 2: [Voltage: 2.97V, Current: 6.20mA]
(Timestamp: 46496) Temperature Readings: [21.29, 19.03, 30.00, 20.00, 23.23, 26.77, 20.00, 25.81], Solar Cell 1: [Voltage: 0.79V, Current: 105.13mA], Solar Cell 2: [Voltage: 2.94V, Current: 5.88mA]
(Timestamp: 47005) Temperature Readings: [21.29, 19.03, 30.00, 20.00, 23.23, 26.77, 20.00, 25.81], Solar Cell 1: [Voltage: 0.79V, Current: 105.13mA], Solar Cell 2: [Voltage: 2.97V, Current: 5.88mA]
(Timestamp: 47514) Temperature Readings: [21.61, 19.03, 30.00, 20.00, 22.90, 27.42, 20.00, 26.45], Solar Cell 1: [Voltage: 0.76V, Current: 102.52mA], Solar Cell 2: [Voltage: 3.06V, Current: 6.20mA]
